"id","latitude","longitude","name","docks"
326,"51.532662","-0.099981","Graham Street, Angel",26
327,"51.53095","-0.085603","New North Road 1, Hoxton",22
328,"51.53114","-0.086016","New North Road 2, Hoxton",22
329,"51.535893","-0.160854","Prince Albert Road, The Regent's Park",24
33,"51.5156","-0.070056","Central House, Aldgate",18
330,"51.516417","-0.179135","Eastbourne Mews, Paddington",34
331,"51.520859","-0.089888","Bunhill Row, Moorgate",30
332,"51.493343","-0.194758","Nevern Place, Earl's Court",20
333,"51.508605","-0.193764","Palace Gardens Terrace, Notting Hill",37
334,"51.505044","-0.115851","Concert Hall Approach 1, South Bank",10
335,"51.511968","-0.120719","Tavistock Street, Covent Garden",32
336,"51.504942","-0.115533","Concert Hall Approach 2, South Bank",18
337,"51.511085","-0.197525","Pembridge Villas, Notting Hill",16
338,"51.511756","-0.119643","Wellington Street , Strand",24
339,"51.53332","-0.111781","Risinghill Street, Angel",25
34,"51.534124","-0.129387","Pancras Road, King's Cross",16
340,"51.514441","-0.087587","Bank of England Museum, Bank",16
341,"51.508103","-0.126021","Craven Street, Strand",21
343,"51.536922","-0.150181","London Zoo Car Park, The Regent's Park",36
344,"51.528246","-0.101026","Goswell Road (City Uni), Finsbury",17
345,"51.488024","-0.166879","Flood Street, Chelsea",33
347,"51.500139","-0.113936","Lower Marsh, Waterloo",15
348,"51.51217","-0.150481","Grosvenor Square, Mayfair",16
349,"51.51196","-0.142783","St. George Street, Mayfair",18
350,"51.501715","-0.179854","Queen's Gate, Kensington Gardens",20
351,"51.529423","-0.097122","Macclesfield Rd, St Lukes",28
352,"51.486965","-0.116625","Vauxhall Street, Vauxhall",17
353,"51.494591","-0.134234","Greycoat Street , Westminster",17
354,"51.506767","-0.123702","Northumberland Avenue, Strand",35
356,"51.494412","-0.173881","South Kensington Station, South Kensington",15
357,"51.520994","-0.139016","Howland Street, Fitzrovia",30
358,"51.516226","-0.124826","High Holborn , Covent Garden",20
359,"51.49783","-0.135441","Butler Place, Westminster",18
