rental_id,bike_id,startstationid,endstationid,start_date,end_date
90762465,2442,60,238,2019-09-01 00:19:00+00,2019-09-01 00:22:00+00
90762467,2,826,826,2019-09-01 00:19:00+00,2019-09-01 00:20:00+00
90762468,4822,739,769,2019-09-01 00:19:00+00,2019-09-01 00:31:00+00
90762469,3566,568,188,2019-09-01 00:19:00+00,2019-09-01 00:29:00+00
90762470,15696,253,465,2019-09-01 00:19:00+00,2019-09-01 00:32:00+00
90762472,14663,228,229,2019-09-01 00:19:00+00,2019-09-01 00:29:00+00
90762473,3781,501,501,2019-09-01 00:19:00+00,2019-09-01 00:36:00+00
90762474,3586,652,652,2019-09-01 00:19:00+00,2019-09-01 00:40:00+00
90762475,10971,85,715,2019-09-01 00:19:00+00,2019-09-01 00:34:00+00
90762476,7212,652,652,2019-09-01 00:19:00+00,2019-09-01 00:40:00+00
90762477,11908,534,507,2019-09-01 00:20:00+00,2019-09-01 00:24:00+00
90762478,16122,748,574,2019-09-01 00:20:00+00,2019-09-01 00:25:00+00
90762479,10457,640,690,2019-09-01 00:20:00+00,2019-09-01 00:25:00+00
90762480,12234,661,595,2019-09-01 00:20:00+00,2019-09-01 00:35:00+00
90762481,3396,85,734,2019-09-01 00:20:00+00,2019-09-01 01:00:00+00
90762482,9628,161,144,2019-09-01 00:20:00+00,2019-09-01 00:32:00+00
90762483,2042,228,229,2019-09-01 00:20:00+00,2019-09-01 00:30:00+00
90762484,4070,440,677,2019-09-01 00:20:00+00,2019-09-01 00:34:00+00
90762485,9509,206,516,2019-09-01 00:20:00+00,2019-09-01 00:35:00+00
90762486,13133,826,345,2019-09-01 00:20:00+00,2019-09-01 00:30:00+00
90762487,6011,739,769,2019-09-01 00:20:00+00,2019-09-01 00:31:00+00
90762488,16525,320,149,2019-09-01 00:20:00+00,2019-09-01 00:33:00+00
90762489,7370,619,573,2019-09-01 00:20:00+00,2019-09-01 00:38:00+00
90762490,9322,228,229,2019-09-01 00:20:00+00,2019-09-01 00:30:00+00
90762491,13706,130,452,2019-09-01 00:21:00+00,2019-09-01 00:26:00+00
90762492,15356,515,337,2019-09-01 00:21:00+00,2019-09-01 00:30:00+00
90762493,12882,21,425,2019-09-01 00:21:00+00,2019-09-01 00:24:00+00
